GEO_LON,GEO_LAT,MONTH,WEEKDAY,TIME,ROAD_CONDITION,LIGHT_CONDITION,HUMAN_FACTOR,TU1_DRIVER_ACTION,ROAD_DESCRIPTION,BICYCLE_IND,PEDESTRIAN_IND,INJURY_YN
-105.01534831299999,39.7308079654,8,5,22,DRY,DARK-LIGHTED,OTHER,CARELESS DRIVING,HIGHWAY INTERCHANGE,0.0,0.0,1
-105.031845585,39.7111279708,6,4,22,WET,DARK-LIGHTED,DUI/DWAI/DUID,UNKOWN_DRIVER_ACTION,NON INTERSECTION,0.0,1.0,1
-104.998842687,39.7414014444,5,2,14,DRY,DAY LIGHT,OTHER,OTHER,NON INTERSECTION,0.0,0.0,1
-104.882974546,39.7771378829,11,2,13,DRY,DAY LIGHT,OTHER,LANE VIOLATION,HIGHWAY INTERCHANGE,0.0,0.0,1
-104.865889005,39.775633296399995,3,1,19,DRY,DARK-LIGHTED,AGGRESSIVE DRIVING,CARELESS DRIVING,HIGHWAY INTERCHANGE,0.0,0.0,1
-105.02506911399999,39.675131784,3,4,14,DRY,DAY LIGHT,AGGRESSIVE DRIVING,FAILED TO STOP AT SIGNAL,INTERSECTION RELATED,0.0,0.0,1
-104.900400035,39.7834898133,2,0,18,DRY,DARK-LIGHTED,OTHER,FAILED TO STOP AT SIGNAL,AT INTERSECTION,0.0,0.0,1
-104.80989841,39.7750466348,12,3,11,DRY,DAY LIGHT,OTHER,FOLLOWED TOO CLOSELY,INTERSECTION RELATED,0.0,0.0,1
-104.94066286399999,39.7350914367,1,2,15,DRY,DAWN OR DUSK,DISTRACTED,FAILED TO YIELD ROW,AT INTERSECTION,0.0,1.0,1
-104.933802268,39.7401346454,7,4,15,DRY,DAY LIGHT,AGGRESSIVE DRIVING,CARELESS DRIVING,AT INTERSECTION,0.0,0.0,1
-105.009278045,39.725366375,3,4,12,DRY,DAY LIGHT,AGGRESSIVE DRIVING,CARELESS DRIVING,HIGHWAY INTERCHANGE,0.0,0.0,1
-104.86594603200001,39.7945016675,3,4,12,DRY,DAY LIGHT,OTHER,FAILED TO YIELD ROW,AT INTERSECTION,0.0,0.0,1
