,GEO_LON,GEO_LAT,SERIOUSLY_INJURED,FATALITIES,INCIDENT_ID
0,-105.0132293,39.72567653,13.0,1.0,1291
1,-104.8470371,39.77400663,26.0,4.0,805
2,-104.998902,39.71120363,13.0,0.0,740
3,-105.0047662,39.7611594,12.0,1.0,674
4,-105.0043337,39.76094894,23.0,4.0,672
5,-104.91825929999999,39.65307877,11.0,2.0,623
6,-104.84703879999999,39.774204299999994,21.0,0.0,539
7,-105.0133584,39.72552059,17.0,0.0,517
8,-105.01652959999998,39.75131993,6.0,0.0,510
9,-104.9895571,39.78010793,16.0,2.0,474
10,-104.67381230000001,39.84929165,9.0,1.0,463
11,-104.999133,39.71120461,8.0,1.0,456
12,-104.9891946,39.78004322,19.0,1.0,449
13,-104.865889,39.775633299999996,26.0,3.0,440
14,-104.90356829999999,39.77830093,10.0,1.0,438
15,-104.8657432,39.77562153,22.0,1.0,417
16,-105.0064256,39.78313920000001,9.0,2.0,405
17,-104.95945079999998,39.68486335,6.0,0.0,403
18,-104.99497050000001,39.76801657,12.0,1.0,387
19,-104.9671683,39.77988246,5.0,2.0,369
20,-104.97915520000001,39.77939803,5.0,1.0,356
21,-104.9594483,39.68472607,11.0,0.0,353
22,-104.9964423,39.70724264,6.0,0.0,346
23,-104.94055139999999,39.6830948,4.0,0.0,340
24,-104.88297450000002,39.77713788,10.0,0.0,331
25,-104.9184511,39.65307972,8.0,2.0,329
26,-104.9067381,39.63414123,9.0,2.0,321
27,-104.9254754,39.66748895,10.0,0.0,315
28,-104.94055259999999,39.68293832,2.0,0.0,314
29,-105.02519099999999,39.78422661,9.0,0.0,313
30,-105.01396609999999,39.74043541,12.0,4.0,308
31,-105.0251375,39.72542597,17.0,0.0,305
32,-104.88297320000001,39.77728886,9.0,1.0,304
33,-104.98956299999999,39.78026718,10.0,1.0,299
34,-104.90632679999999,39.63324141,2.0,0.0,298
35,-105.0141616,39.74043896,14.0,2.0,298
36,-104.9734189,39.69000009,6.0,0.0,297
37,-104.98919340000002,39.78020793,7.0,0.0,296
38,-105.01483590000002,39.72932066,4.0,0.0,295
39,-104.933774,39.67845019,4.0,0.0,285
