,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,HUMAN_FACTOR
10,11,20194600.0,2019460000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,1/3/2019 6:46,,1/3/2019 9:19,W COLFAX AVE / N IRVING ST,3132212.0,1694887.0,-105.02986200000001,39.74032978,1.0,122.0,West Colfax,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,  ,  ,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,OTHER,  ,0.0,1.0,PEDESTRIAN,  ,  ,  ,  
151,152,20195684.0,2019570000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/3/2019 15:26,,1/3/2019 17:11,N GLOBEVILLE RD / PARK AVEW,3141978.0,1704175.0,-104.9949518,39.76568304,1.0,112.0,Globeville,0.0,2.0,PEDESTRIAN-OTHER,PEDESTRIAN-OTHER,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,WEST,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,  ,EAST,OTHER,  ,  ,CROSS/ENTER AT INTERSECTION,1.0,0.0,  ,  ,PEDESTRIAN,  ,NO APPARENT
157,158,20195893.0,2019590000000.0,5441,0,TRAF - ACCIDENT               ,1/3/2019 17:04,,1/3/2019 17:04,E MONTVIEW BLVD / N ROSLYN ST,3168412.0,1697688.0,-104.9010746,39.74743429,2.0,223.0,East Colfax,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY WITH VISIBLE ICY ROAD TREATMENT,DAWN OR DUSK,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,FOLLOWED TOO CLOSELY,DISTRACTED CELLPHONE,  ,PASSENGER CAR/VAN,EAST,SLOWING,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DISTRACTED
178,179,20196311.0,2019630000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/3/2019 20:22,,1/3/2019 22:52,1100 BLOCK W COLFAX AVE,3139994.0,1694789.0,-105.00219209999999,39.73994695,1.0,123.0,Lincoln Park,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,  ,NORTH,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,PICKUP TRUCK/UTILITY VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
280,281,201911810.0,20191200000000.0,5441,0,TRAF - ACCIDENT               ,1/6/2019 8:09,,1/6/2019 8:09,W 26TH AVE / N ZUNI ST,3136108.0,1700203.0,-105.01590759999999,39.75486698,1.0,121.0,Jefferson Park,0.0,1.0,CURB,PEDESTRIAN-TOY MOTORIZED VEHICLE,PEDESTRIAN-TOY MOTORIZED VEHICLE,RAN OFF RIGHT SIDE,INTERSECTION RELATED,CURVE ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,MAKING LEFT TURN,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,OTHER,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,OTHER,  ,AGGRESSIVE DRIVING
296,297,201912881.0,20191300000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/6/2019 20:28,,1/6/2019 20:28,1500 BLOCK N SHERIDAN BLVD,3125670.0,1695150.0,-105.05311999999999,39.74114241,1.0,121.0,West Colfax,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,OTHER,WEST,  ,  ,  ,WALKING IN ROADWAY IN DIRECTION OF TRAFFIC,NON-SCHOOL BUS,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,OTHER,  ,  
297,298,201912909.0,20191300000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,1/6/2019 20:47,,1/6/2019 20:47,5100 BLOCK N FEDERAL BLVD,3133456.0,1713050.0,-105.02510090000001,39.79017238,1.0,111.0,Chaffee Park,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,  ,WEST,  ,  ,  ,CROSS/ENTER NOT AT INTERSECTION,SUV,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,1.0,PEDESTRIAN,  ,  ,  ,  
336,337,201914514.0,20191500000000.0,5441,0,TRAF - ACCIDENT               ,1/7/2019 14:40,,1/7/2019 16:30,I70 HWYEB / N HAVANA ST,3178275.0,1708023.0,-104.8657432,39.77562153,5.0,512.0,Stapleton,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,EAST,GOING STRAIGHT,FOLLOWED TOO CLOSELY,OTHER,  ,PASSENGER CAR/VAN,EAST,SLOWING,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,OTHER
363,364,201915859.0,20191600000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/8/2019 6:52,,1/8/2019 7:15,S MONACO ST / E ILIFF AVE,3165264.0,1671228.0,-104.9128777,39.67485287,3.0,323.0,Goldsmith,0.0,1.0,PEDESTRIAN-TO/FROM SCHOOL,  ,PEDESTRIAN-TO/FROM SCHOOL,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTHWEST,MAKING LEFT TURN,CARELESS DRIVING,NO APPARENT,  ,  ,EAST,GOING STRAIGHT,  ,  ,CROSS/ENTER AT INTERSECTION,1.0,0.0,  ,  ,PEDESTRIAN,  ,NO APPARENT
389,390,201916670.0,20191700000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/8/2019 13:05,,1/8/2019 16:08,I70 HWYEB / N BRIGHTON BLVD,3149758.0,1709392.0,-104.9671683,39.77988246,2.0,212.0,Elyria Swansea,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,EAST,CHANGING LANES,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,VEHICLE OVER 10000 LBS,EAST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,AGGRESSIVE DRIVING
