,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,HUMAN_FACTOR,INJURY
125534,125535,201713649.0,20171400000000.0,5441,0,TRAF - ACCIDENT               ,10:00.0,,1/7/2017 14:48,4700 BLOCK N PEORIA ST,3183536.0,1711241.0,-104.8469443,39.78435298,5.0,521.0,Montbello,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,DRIVEWAY ACCESS RELATED,STRAIGHT ON-LEVEL,WET,DAY LIGHT,PASSENGER CAR/VAN,WEST,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,PICKUP TRUCK/UTILITY VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER,1
20893,20894,2019128853.0,201913000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,10:00.0,,2/27/2019 8:36,4700 BLOCK N PEORIA ST,3183536.0,1711241.0,-104.8469443,39.78435298,5.0,521.0,Montbello,0.0,1.0,PEDESTRIAN-TO/FROM SCHOOL,  ,PEDESTRIAN-TO/FROM SCHOOL,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,OTHER,WEST,OTHER,  ,OTHER,CROSS/ENTER NOT AT INTERSECTION,PICKUP TRUCK/UTILITY VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,OTHER,  ,OTHER,1
76769,76770,2015240453.0,201524000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,5/2/2015 13:47,,5/2/2015 13:48,N SPEER BLVD / N BANNOCK ST,3143259.0,1691175.0,-104.9906543,39.72997616,6.0,611.0,Civic Center,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,MOTORCYCLE,SOUTH,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,NO APPARENT,  ,PASSENGER CAR/VAN,WEST,MAKING LEFT TURN,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,OTHER,1
43011,43012,2013158490.0,201316000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,4/9/2013 2:00,,4/9/2013 2:00,N COLORADO BLVD / E 9TH AVE,3157311.0,1691441.0,-104.94068899999999,39.73047949,2.0,213.0,Congress Park,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,WET,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,RECKLESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,CROSS/ENTER AT INTERSECTION,0.0,1.0,PEDESTRIAN,  ,  ,  ,DUI/DWAI/DUID,1
101680,101681,2016316099.0,201632000000000.0,5401,0,TRAF - ACCIDENT - HIT & RUN   ,5/20/2016 23:05,,5/21/2016 0:44,W 6TH AVE / N PERRY ST,3129541.0,1689470.0,-105.0394574,39.72549662,4.0,411.0,Barnum West,0.0,0.0,REAR TO REAR WITH MV IN TRANSPORT,  ,REAR TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PICKUP TRUCK/UTILITY VAN,EAST,GOING STRAIGHT,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,EAST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,AGGRESSIVE DRIVING,1
50929,50930,2014234677.0,201423000000000.0,5441,0,TRAF - ACCIDENT               ,5/8/2014 18:43,,5/8/2014 19:55,S HAZEL CT / W VIRGINIA AVE,3132927.0,1682990.0,-105.0275396,39.70765992,4.0,412.0,Westwood,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN WITH TRAILIER,WEST,GOING STRAIGHT,DISREGARD STOP SIGN,DISTRACTED CELLPHONE,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DISTRACTED,1
139843,139844,2017763589.0,201776000000000.0,5441,0,TRAF - ACCIDENT               ,11/14/2017 1:40,,11/14/2017 1:40,I70 HWYEB / N DAHLIA ST,3159738.0,1709502.0,-104.9316584,39.78001839,2.0,221.0,Northeast Park Hill,0.0,0.0,CURB,GUARD RAIL,CURB,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,EXCEED SAFE/POSTED SPEED,AGGRESSIVE DRIVING,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,AGGRESSIVE DRIVING,1
76777,76778,2015240745.0,201524000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,5/2/2015 16:27,,5/2/2015 17:34,I270 HWYEB / N CENTRAL PARK BLVD,3173427.0,1708503.0,-104.882979,39.77703084,5.0,512.0,Stapleton,0.0,0.0,GUARD RAIL,  ,GUARD RAIL,RAN OFF RIGHT SIDE,HIGHWAY INTERCHANGE,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,CARELESS DRIVING,PHYSICAL DISABILITY,  ,  ,  ,  ,  ,  ,  ,0.0,1.0,PASSENGER CAR/VAN,  ,  ,  ,PHYSICAL DISABILITY,1
154506,154507,2018285887.0,201829000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,4/29/2018 10:30,,4/29/2018 10:30,700 BLOCK N LINCOLN ST/ N SHERMAN ST ALLEY,3144582.0,1690245.0,-104.9859693,39.72740267,6.0,623.0,Capitol Hill,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,ALLEY RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,OTHER,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,OTHER,1
43026,43027,2013202903.0,201320000000000.0,5441,0,TRAF - ACCIDENT               ,5/7/2013 5:07,,5/7/2013 5:45,5095 N PARIS ST,3182810.0,1713253.0,-104.8494762,39.78989043,5.0,511.0,Montbello,0.0,0.0,SIGN,WALL OR BUILDING,WALL OR BUILDING,RAN OFF RIGHT SIDE,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,PASSENGER CAR/VAN,SOUTH,OTHER,CARELESS DRIVING,ILLNESS/MEDICAL,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,ILLNESS/MEDICAL,1
32487,32488,2013357575.0,201336000000000.0,5441,0,TRAF - ACCIDENT               ,7/31/2013 18:20,,7/31/2013 18:25,E 18TH AVE / N LINCOLN ST,3144504.0,1696614.0,-104.9861185,39.74488796,6.0,621.0,North Capitol Hill,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,OTHER OBJECT,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,  ,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER,1
127282,127283,2017296735.0,201730000000000.0,5420,0,TRAF - ACCIDENT - DUI/DUID    ,5/7/2017 2:18,,5/7/2017 2:18,8300 BLOCK E COLFAX AVE,3171157.0,1694939.0,-104.8913783,39.73983776,2.0,223.0,East Colfax,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,SUV,EAST,GOING STRAIGHT,EXCEED SAFE/POSTED SPEED,DUI/DWAI/DUID,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,DUI/DWAI/DUID,1
50917,50918,2014218567.0,201422000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,27:00.0,,4/30/2014 15:57,E HAMPDEN AVE / S TAMARAC DR,3169290.0,1663335.0,-104.8987608,39.65311241,3.0,324.0,Hampden South,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,SUV,WEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,OTHER,1
161411,161412,2019623149.0,201962000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,9/29/2019 1:18,,9/29/2019 1:59,W COLFAX AVE / N SPEER BLVD,3140932.0,1694856.0,-104.9988554,39.74011671,1.0,123.0,Lincoln Park,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,DUI/DWAI/DUID,  ,SUV,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,DUI/DWAI/DUID,1
118185,118186,2016707655.0,201671000000000.0,5441,0,TRAF - ACCIDENT               ,11/4/2016 6:25,,11/4/2016 7:30,I25 HWYSB/W 3RD AVE,,,,,4.0,,,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,  ,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,CARELESS DRIVING,DISTRACTED-OTHER,  ,SUV,SOUTH,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DISTRACTED,1
